,from,to,x,Pmax,Suscep
1,1,2,0.0999,151,10.01001001001001
2,1,3,0.0424,151,23.58490566037736
3,4,5,0.00798,176,125.31328320802007
4,3,5,0.10800000000000001,175,9.259259259259258
5,5,6,0.054000000000000006,176,18.518518518518515
6,6,7,0.0208,176,48.07692307692308
7,8,9,0.0305,711,32.78688524590164
8,8,5,0.0267,1099,37.45318352059925
9,9,10,0.0322,710,31.055900621118013
10,4,11,0.0688,151,14.534883720930232
11,5,11,0.0682,152,14.66275659824047
12,11,12,0.0196,151,51.02040816326531
13,2,12,0.0616,151,16.233766233766232
14,3,12,0.16,151,6.25
15,7,12,0.034,164,29.41176470588235
16,11,13,0.0731,151,13.679890560875513
17,12,14,0.0707,151,14.144271570014144
18,13,15,0.2444,115,4.091653027823241
19,14,15,0.195,144,5.128205128205128
20,12,16,0.0834,164,11.990407673860911
21,15,17,0.0437,151,22.88329519450801
22,16,17,0.1801,158,5.5524708495280395
23,17,18,0.0505,167,19.801980198019802
24,18,19,0.0493,173,20.28397565922921
25,19,20,0.11699999999999999,178,8.547008547008547
26,15,19,0.0394,151,25.38071065989848
27,20,21,0.0849,177,11.778563015312132
28,21,22,0.09699999999999999,178,10.309278350515465
29,22,23,0.159,178,6.289308176100628
30,23,24,0.0492,158,20.32520325203252
31,23,25,0.08,186,12.5
32,26,25,0.0382,768,26.17801047120419
33,25,27,0.163,177,6.134969325153374
34,27,28,0.0855,174,11.695906432748536
35,28,29,0.0943,165,10.604453870625663
36,30,17,0.0388,756,25.77319587628866
37,8,30,0.0504,580,19.841269841269842
38,26,30,0.086,340,11.627906976744187
39,17,31,0.1563,151,6.397952655150352
40,29,31,0.0331,146,30.211480362537767
41,23,32,0.1153,158,8.673026886383347
42,31,32,0.0985,151,10.152284263959391
43,27,32,0.0755,151,13.245033112582782
44,15,33,0.1244,150,8.038585209003216
45,19,34,0.247,114,4.048582995951417
46,35,36,0.0102,176,98.0392156862745
47,35,37,0.0497,175,20.120724346076457
48,33,37,0.142,154,7.042253521126761
49,34,36,0.0268,146,37.3134328358209
50,34,37,0.0094,159,106.38297872340425
51,38,37,0.0375,783,26.666666666666668
52,37,39,0.106,151,9.433962264150944
53,37,40,0.168,140,5.952380952380952
