,pred
1,108.0
2,97.0
3,180.0
4,74.0
5,71.0
6,136.0
7,125.0
8,171.0
9,175.0
10,195.0
11,0.0
12,0.0
13,265.0
14,194.0
15,317.0
16,100.0
17,0.0
18,333.0
19,181.0
20,128.0
21,0.0
22,0.0
23,0.0
24,0.0
25,108.0
26,97.0
27,180.0
28,74.0
29,71.0
30,136.0
31,125.0
32,171.0
33,175.0
34,195.0
35,0.0
36,0.0
37,265.0
38,194.0
39,317.0
40,100.0
41,0.0
42,333.0
43,181.0
44,128.0
45,0.0
46,0.0
47,0.0
48,0.0
49,108.0
50,97.0
51,180.0
52,74.0
53,71.0
54,136.0
55,125.0
56,171.0
57,175.0
58,195.0
59,0.0
60,0.0
61,265.0
62,194.0
63,317.0
64,100.0
65,0.0
66,333.0
67,181.0
68,128.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
