,bus,Pmax,Pmin,c2,c1,c0
1,1,20.0,16.0,0.0,130.0,400.6849
2,1,20.0,16.0,0.0,130.0,400.6849
3,1,76.0,15.2,0.014142,16.0811,212.3076
4,1,76.0,15.2,0.014142,16.0811,212.3076
5,2,20.0,16.0,0.0,130.0,400.6849
6,2,20.0,16.0,0.0,130.0,400.6849
7,2,76.0,15.2,0.014142,16.0811,212.3076
8,2,76.0,15.2,0.014142,16.0811,212.3076
9,7,100.0,25.0,0.052672,43.6615,781.521
10,7,100.0,25.0,0.052672,43.6615,781.521
11,7,100.0,25.0,0.052672,43.6615,781.521
12,13,197.0,69.0,0.00717,48.5804,832.7575
13,13,197.0,69.0,0.00717,48.5804,832.7575
14,13,197.0,69.0,0.00717,48.5804,832.7575
15,15,12.0,2.4,0.328412,56.564,86.3852
16,15,12.0,2.4,0.328412,56.564,86.3852
17,15,12.0,2.4,0.328412,56.564,86.3852
18,15,12.0,2.4,0.328412,56.564,86.3852
19,15,12.0,2.4,0.328412,56.564,86.3852
20,15,155.0,54.3,0.008342,12.3883,382.2391
21,16,155.0,54.3,0.008342,12.3883,382.2391
22,18,400.0,100.0,0.000213,4.4231,395.3749
23,21,400.0,100.0,0.000213,4.4231,395.3749
24,22,50.0,10.0,0.0,0.001,0.001
25,22,50.0,10.0,0.0,0.001,0.001
26,22,50.0,10.0,0.0,0.001,0.001
27,22,50.0,10.0,0.0,0.001,0.001
28,22,50.0,10.0,0.0,0.001,0.001
29,22,50.0,10.0,0.0,0.001,0.001
30,23,155.0,54.3,0.008342,12.3883,382.2391
31,23,155.0,54.3,0.008342,12.3883,382.2391
32,23,350.0,140.0,0.004895,11.8495,665.1094
33,25,20.0,16.0,0.0,130.0,400.6849
34,25,20.0,16.0,0.0,130.0,400.6849
35,25,76.0,15.2,0.014142,16.0811,212.3076
36,25,76.0,15.2,0.014142,16.0811,212.3076
37,26,20.0,16.0,0.0,130.0,400.6849
38,26,20.0,16.0,0.0,130.0,400.6849
39,26,76.0,15.2,0.014142,16.0811,212.3076
40,26,76.0,15.2,0.014142,16.0811,212.3076
41,31,100.0,25.0,0.052672,43.6615,781.521
42,31,100.0,25.0,0.052672,43.6615,781.521
43,31,100.0,25.0,0.052672,43.6615,781.521
44,37,197.0,69.0,0.00717,48.5804,832.7575
45,37,197.0,69.0,0.00717,48.5804,832.7575
46,37,197.0,69.0,0.00717,48.5804,832.7575
47,39,12.0,2.4,0.328412,56.564,86.3852
48,39,12.0,2.4,0.328412,56.564,86.3852
49,39,12.0,2.4,0.328412,56.564,86.3852
50,39,12.0,2.4,0.328412,56.564,86.3852
51,39,12.0,2.4,0.328412,56.564,86.3852
52,39,155.0,54.3,0.008342,12.3883,382.2391
53,40,155.0,54.3,0.008342,12.3883,382.2391
54,42,400.0,100.0,0.000213,4.4231,395.3749
55,45,400.0,100.0,0.000213,4.4231,395.3749
56,46,50.0,10.0,0.0,0.001,0.001
57,46,50.0,10.0,0.0,0.001,0.001
58,46,50.0,10.0,0.0,0.001,0.001
59,46,50.0,10.0,0.0,0.001,0.001
60,46,50.0,10.0,0.0,0.001,0.001
61,46,50.0,10.0,0.0,0.001,0.001
62,47,155.0,54.3,0.008342,12.3883,382.2391
63,47,155.0,54.3,0.008342,12.3883,382.2391
64,47,350.0,140.0,0.004895,11.8495,665.1094
65,49,20.0,16.0,0.0,130.0,400.6849
66,49,20.0,16.0,0.0,130.0,400.6849
67,49,76.0,15.2,0.014142,16.0811,212.3076
68,49,76.0,15.2,0.014142,16.0811,212.3076
69,50,20.0,16.0,0.0,130.0,400.6849
70,50,20.0,16.0,0.0,130.0,400.6849
71,50,76.0,15.2,0.014142,16.0811,212.3076
72,50,76.0,15.2,0.014142,16.0811,212.3076
73,55,100.0,25.0,0.052672,43.6615,781.521
74,55,100.0,25.0,0.052672,43.6615,781.521
75,55,100.0,25.0,0.052672,43.6615,781.521
76,61,197.0,69.0,0.00717,48.5804,832.7575
77,61,197.0,69.0,0.00717,48.5804,832.7575
78,61,197.0,69.0,0.00717,48.5804,832.7575
79,63,12.0,2.4,0.328412,56.564,86.3852
80,63,12.0,2.4,0.328412,56.564,86.3852
81,63,12.0,2.4,0.328412,56.564,86.3852
82,63,12.0,2.4,0.328412,56.564,86.3852
83,63,12.0,2.4,0.328412,56.564,86.3852
84,63,155.0,54.3,0.008342,12.3883,382.2391
85,64,155.0,54.3,0.008342,12.3883,382.2391
86,66,400.0,100.0,0.000213,4.4231,395.3749
87,69,400.0,100.0,0.000213,4.4231,395.3749
88,70,50.0,10.0,0.0,0.001,0.001
89,70,50.0,10.0,0.0,0.001,0.001
90,70,50.0,10.0,0.0,0.001,0.001
91,70,50.0,10.0,0.0,0.001,0.001
92,70,50.0,10.0,0.0,0.001,0.001
93,70,50.0,10.0,0.0,0.001,0.001
94,71,155.0,54.3,0.008342,12.3883,382.2391
95,71,155.0,54.3,0.008342,12.3883,382.2391
96,71,350.0,140.0,0.004895,11.8495,665.1094
